citric acid;free sulfur dioxide;alcohol
0.53;7;12.2
0.45;6;12.5
0.32;29;10.3
0.58;28;11.5
0.54;12;9.8
0.5;10;9.2
0.48;5;11.3
0.47;6;9.8
0.47;6;9.8
0.5;6;10.7
0;40;9.9
0.02;17;12.3
0.67;6;12
0.31;15;10
0;11;9.4
0.22;17;9.9
0;11;9.4
0;8;9.3
0.79;23;13
0.4;40.5;11.9
0.01;17;12.8
0.52;29;11
0.66;12;11.7
0.66;10;10.4
0.66;10;9.8
0.23;14;9.4
0.31;21;9.9
0.66;6;10
0.63;6;10.2
0.66;7;10
0.5;7;11.8
0.66;7;10
0.61;11;9
0.52;15;9.4
0.53;6;12
0.02;35;9.9
0.4;11;8.7
0.48;26;10.6
0.22;12;9.2
0.63;6;10.8
0.71;6;11.8
0.5;19;11
0.53;6;12
0.66;6;13.3
0.38;24;10.8
0.42;11;9.4
0.68;17;10
0.42;11;9.4
0.42;11;9.4
0.28;23;9.2
0.07;11;9.7
0.26;23;9.2
0.15;17;9.6
0.26;23;9.2
0.31;16;10
0.05;12;12.9
0.68;17;10
0.52;6;9.5
0.61;13;9.1
0.65;6;9.9
0.76;7;13
0.02;68;9.9
0.59;13;11
0.59;13;11
0.22;9;9.4
0.02;68;9.9
0.3;20;10.8
0.54;19;10.5
0.49;10;10.5
0.05;15;9.1
0.46;11;10.1
0.47;9;10.8
0.66;12;10.8
0.58;6;11.3
0.49;26;9.6
0.34;26;9.5
0.35;23;9.5
0.16;15;9.3
0.53;6;11.7
0.34;24;9.5
0.24;31;9.3
0.64;6;11.7
0.12;34;10.5
0.51;7;10.4
0;34;9.9
0.33;35;11.8
0.03;32;12.3
0.2;15;10.9
0.47;6;11
0.2;15;10.9
0.03;32;12.3
0.08;19;11.4
0.22;6;10.6
0.33;9;9.3
0.63;13;10.4
0.47;6;11
0.35;21;9.2
0.69;12;12.8
0.63;6;9.5
0.55;22;9.9
0.63;6;9.5
0.3;38;10.2
0.73;6;11.2
0.55;22;9.9
0.18;7;9.3
0.72;6;9.8
0.65;7;11.3
0.76;6;11.2
0.49;11;11.6
0.01;5;12.5
0.1;6;10.1
0.6;31;10.5
0.29;6;11.2
0.22;7;10.2
0.69;17;10.8
0.69;17;10.8
0.53;9;9.1
0.03;18;10
0.63;5;11.2
0.4;21;11.1
0.67;6;13.4
0.39;5;10.3
0.21;29;9.6
0.63;5;11.2
0.66;10;9
0.52;14;11.3
0.22;6;9.3
0.68;10;11.8
0.7;25;9
0.54;5;9.2
0.4;10;9.7
0.42;21;11.5
0.45;7;14
0.69;6;9.2
0.02;36;9.8
0.65;15;10.6
0.42;25;11.4
0.55;25;10.4
0.55;5;10.6
0.51;10;9.4
0.24;5;10.2
0.41;6;9.7
0.49;6;11
0.24;5;10.2
0.11;6;10.1
0.39;6;9.2
0.56;6;11.7
0.59;6;9.4
0.6;7;9.4
0.68;6;13.4
0.39;6;10
0.39;6;10
0.36;5;10
0.55;35;10.8
0.4;10;10.2
0.27;24;10.6
0.5;12;13.3
0.51;13;13.4
0.31;23;11.6
0.23;28;12.1
0.53;5;11
0.25;14;9
0.32;43;11.1
0.53;5;11
0.31;23;11.6
0.25;14;9
0.73;38;12
0.73;38;12
0.47;6;10.9
0.42;6;10.8
0.63;10;12.5
0.46;6;10.8
0.55;6;9.5
0.31;26;10.2
0.75;23;11.4
0.49;19;9.5
0.31;26;10.2
0.48;15;9.7
0.64;6;11.8
0.64;6;11.8
0.49;34;9.3
0.49;5;11.9
0.49;5;8.4
0.49;11;11.7
0.49;39;11
0.49;15;10
0.49;16;9.1
0.49;47;9.8
0.49;38;9.4
0.49;23;9.5
0.24;29;9.9
0.49;39;11
0.49;33;11.4
0.49;32;8.7
0.24;6;9.4
0.24;1;10.3
0.49;12;10.3
0.49;12;10.3
0.24;15;12.8
0.24;13;10
0.24;1;10.3
0.24;6;9.4
0.24;5;10.7
0.49;5;12
0.74;5;11.2
0.24;20;9.6
0.49;5;11
0.24;5;9.9
0.24;16;11
0.74;6;8.4
0.49;38;9.1
0.24;10;9.5
0.49;6;10.7
0.49;27;10.4
0.49;6;9.4
0.01;9;9.5
0.24;14;10
0.24;14;10
0.24;32;11.5
0.49;10;11.1
0.49;10;11.1
0.49;10;11.7
0.49;10;11.1
0.49;10;11.7
0.49;6;12.7
0.49;5;11.4
0.49;26;9.2
0.49;41;9.2
0.49;25;10.1
0.49;6;12.7
0.49;5;11.4
0.24;5;9
0.24;5;9
0.49;5;10.7
0.24;19;11.7
0.49;10;11
0.24;19;11.7
0.49;10;10.4
0.49;14;9.6
0.49;20;10
0.49;28;10.2
0.24;6;10
0.49;18;9.5
0.49;17;9.8
0.49;18;9.8
0.49;5;9.6
0.49;5;9.6
0.49;5;9.2
0.49;10;9.9
0.49;54;10.7
0.24;8;9.6
0.49;16;10.6
0.24;18;9.3
0.24;19;14
0.49;5;10.5
0.49;21;9.7
0.49;23;11.5
0.49;21;9.7
0.58;9;9
0.17;20;9.5
0.41;30;9.3
0.51;6;9.3
0.58;5;10
0.18;5;9.8
0.45;11;9.3
0.27;7;10
0.52;12;9
0;6;9.3
0.52;12;9
0.13;14;9.1
0.13;6;9.2
0.48;10;12.2
0.41;26;10.5
0.37;11;10.4
0.19;15;12.7
0.54;25;9.2
0.55;5;9.4
0;18;10
0.38;10;9.8
0.18;10;10.2
0.5;28;9.7
0.5;28;9.7
0.51;14;9.8
0.5;4;10.2
0.41;6;9.3
0.24;16;9.4
0.23;14;9.4
0.22;9;9.5
0.25;21;12.1
0;21;10.2
0;21;10.2
0.29;5;9.1
0.29;5;9.1
0.26;7;9.3
0.23;20;9.3
0.26;7;9.3
0.54;5;9.5
0.14;21;10.5
0.22;11;11.3
0.21;46;9.5
0;24;9.7
0.28;30;9.4
0.27;31;9.4
0.12;7;10.2
0.35;25;10.3
0.45;16;9.4
0.44;21;9.5
0.45;16;9.4
0.44;21;9.5
0.45;16;9.4
0.1;5;10.1
0.05;6;10.1
0.01;5;11
0.3;10;11.2
0.27;24;11.3
0.39;8;9.6
0.25;35;11.2
0.65;22;14.9
0.59;9;12
0.47;7;9.5
0.17;20;9.4
0.39;8;9.6
0.59;23;10.5
0.07;5;9.6
0.02;5;11
0.07;5;9.6
0.31;15;9
0.06;9;9.6
0.46;5;10.2
0.52;15;10.2
0.14;25;9.7
0.36;6;9.5
0.45;6;9.2
0.43;15;11
0.45;6;9.2
0.24;30;10
0.21;5;9.5
0.34;32;9.5
0.21;5;9.5
0.41;7;9.3
0.39;12;10.2
0.41;7;9.3
0.11;12;9.9
0.1;45;10
0.45;20;9.6
0.58;15;9
0.23;16;10.2
0.31;32;9.8
0.23;5;11.3
0.32;35;9.4
0.23;5;11.3
0.18;13;9.1
0.23;13;9.7
0.04;4;9.4
0.48;5;9.4
0;5;10.7
0.24;12;9.8
0.51;16;9
0.32;21;9.4
0.31;24;9.4
0.02;18;12.8
0.02;8;9.5
0.02;8;9.5
0.28;18;9.7
0.55;5;10.8
0.43;26;10.1
0.02;8;9.5
0.02;9;9.4
0.48;22;9.6
0.04;4;9.7
0.15;11;9.9
0.08;10;10
0.19;16;10.5
0.12;11;11.6
0.47;13;10
0.43;21;10.1
0.34;16;9.5
0;13;9.4
0.36;10;9.4
0.28;21;9.8
0.18;13;9.2
0.36;10;9.4
0.11;12;10
0.04;10;9.6
0;17;9.5
0.04;10;9.6
0.24;35;9.2
0.08;15;10
0.3;36;9.5
0.1;5;11.2
0.17;5;10.4
0.09;18;11.1
0.02;4;9.5
0.02;4;9.5
0.03;27;12.7
0.66;12;9.6
0.13;4;11.5
0.03;10;9.6
0.34;16;9.5
0.2;9;9.3
0.1;11;9.5
0.1;11;9.5
0;19;9.3
0.23;28;9.2
0;19;9.3
0.29;12;11.5
0.24;28;9.5
0;9;9.2
0.58;25;10
0.54;21;9.5
0.18;12;9.5
0.38;12;9
0.4;16;9.4
0.18;12;9.6
0.18;12;9.5
0.1;17;9.5
0.1;17;9.5
0.13;24;9.4
0.1;17;9.5
0.68;14;9.1
0.07;22;10.7
0.01;15;11.2
0;10;9.8
0;10;9.8
0.21;33;9.2
0.25;9;9.7
0.26;5;9.6
0;8;10
0.26;5;9.6
0.11;11;9.5
0.1;12;9.5
0.18;12;9.4
0.32;13;9.5
0.02;24;9.7
0.01;7;9.6
0.02;24;9.7
0.26;23;9.4
0.27;23;9.4
0.29;1;9.5
0.3;2;9.5
0;7;10
0.18;5.5;10.3
0.17;6;10.3
0.3;7;10.5
0.03;21;9.8
0;12;9.4
0.14;9;9.8
0.05;26;10
0.14;9;9.8
0.01;20;9.8
0.41;11;9.5
0.41;11;9.5
0.24;19;10.1
0.24;19;10.1
0.17;21;9.3
0.43;18;9.7
0.17;25;9.6
0.02;17;9.7
0;7;10.8
0.54;7;12.5
0.3;7;10.2
0.31;24;9.6
0.44;21;10.8
0.34;5;10.7
0.34;5;10.7
0.08;26;9.4
0.09;8;10
0;14;12.9
0.08;14;9.6
0.22;4;9.9
0.4;4;12.8
0.39;4;12.5
0.4;4;12.8
0.12;4;9.2
0.31;4;10.3
0.1;4;10.5
0.55;7;10.9
0.33;20;10.8
0.24;4;11.4
0.54;19;11.3
0.33;20;10.8
0.19;8;10.5
0.42;19;11.9
0;21;9.4
0.15;9;9.6
0;9;9.7
0;16;14
0.13;15;9.8
0.13;15;9.8
0.28;6;10.3
0.14;15;10.7
0.34;4;11
0.14;15;10.7
0.09;34;12.7
0.08;16;11.1
0.07;5;10.9
0.08;16;11.1
0.42;34;9.9
0.44;36;9.9
0.26;16;9.4
0.1;27;9.3
0.28;36;11.7
0.28;36;11.7
0.35;9;11.2
0.04;13;10
0.47;9;12.1
0;21;10.3
0.45;34;10.9
0.35;9;9.4
0.46;26;10.6
0.21;14;9.8
0.21;14;9.8
0.16;12;9.9
0.21;14;9.8
0.21;12;9.8
0.44;9;9.5
0.44;9;9.5
0.32;26;9.7
0.39;41;10.9
0.39;41;10.9
0.02;10;11.7
0.39;41;10.9
0.34;16;11.3
0.47;17;10.6
0.22;15;11.2
0.06;15;9.5
0.66;15;11.5
0.32;7;10.4
0.06;17;9.7
0.06;15;9.5
0.07;16;9.7
0.22;13;11.3
0.23;13;11.2
0.22;15;11.2
0.03;27;10.9
0.01;31;11.8
0.03;36;10.6
0.24;28;10
0.37;6;11.1
0.46;6;11.8
0.4;7;11.8
0;7;10.9
0.01;31;11.8
0.19;30;10
0.04;18;9.5
0.18;10;9.9
0;30;11.4
0.29;14;12
0.04;18;9.5
0.19;30;10
0.14;9;10.5
0.12;8;10.4
0.38;29;12.1
0;32;11.2
0.34;23;9.3
0.24;30;10.1
0.03;16;9.7
0.23;10;9.3
0.03;16;9.7
0.03;17;9.8
0.01;27;10.7
0.39;17;12.5
0.01;27;10.7
0.39;17;12.5
0.02;6;11
0.36;10;11.8
0.1;16;10.8
0.1;16;10.8
0.06;11;10.8
0.06;11;10.8
0.2;15;9.5
0.27;12;11
0;6;11.5
0.13;34;10.8
0.39;7;11.5
0.48;3;13.2
0.46;3;10.9
0.44;4;12.2
0.46;3;12.2
0.39;7;11.5
0.4;3;11.9
0.19;7;11
0.31;26;10.1
0.32;32;11
0.12;38;11.8
0.37;10;10.5
0.32;32;11
0.12;38;11.8
0.31;26;10.1
0.27;14;11.2
0.36;53;11
0.33;52;10.2
0.19;11;9.2
0.27;14;11.2
0.38;10;12
0.01;8;10.5
0.01;13;9.8
0.29;29;9.5
0.01;13;9.8
0.01;8;10.5
0.38;19;11.8
0.38;19;11.8
0.5;6;10.4
0.38;23;12.9
0.17;7;11.4
0.52;13;12.4
0.49;9;12.5
0.4;13;10
0.34;10;9.7
0.49;11;12.1
0.42;7;11.1
0.58;11;12
0.48;6;12.4
0.45;10;11.9
0.45;10;11.9
0.45;10;11.9
0.48;6;12.4
0.4;6;11.2
0.48;5;12.1
0.4;6;12.2
0.52;9;10.4
0.52;5;11.3
0.52;12;11.1
0.12;25;11.3
0.05;12;10
0.27;18;11.1
0.14;7;9.3
0.02;6;9.5
0.39;20;11.2
0.27;18;11.1
0.4;24;11
0.41;6;11.9
0.2;23;9.2
0.43;29;12.2
0.09;7;10.2
0.48;6;10.9
0.48;6;10.9
0.5;6;11.6
0.44;6;10.7
0.41;7;12.1
0.3;35;9.4
0.3;35;9.4
0.29;31;9.1
0.32;9;11.3
0.49;3;10.4
0.3;8;10.5
0.26;13;10
0.32;51;12.9
0.3;8;10.5
0.49;3;10.4
0;7;11.3
0.39;3;11.4
0.3;35;9.4
0.12;19;9.4
0.4;14;10.9
0.12;19;9.4
0.28;31;9.4
0.1;30;9.4
0.28;31;9.4
0.45;20;9.4
0.06;19;10.1
0;3;12.8
0;3;12.8
0.34;4;9.1
0;7;12.9
0.3;6;11.5
0.38;31;10.6
0.33;13;11.7
0.32;4;12.8
0.29;27;10.3
0.32;4;12.8
0.33;13;11.7
0.34;12;11.7
0.4;12;12
0.36;26;10.9
0.45;7;12.3
0.31;12;10.4
0.15;11;10
0;22;10
0.16;3;11.2
0.46;14;11.4
0.4;12;12.6
0.37;36;12.7
0.37;36;12.7
0.14;10;10.4
0.66;3;11.9
0.66;3;11.9
0.09;4;10.5
0.42;3;12.3
0.01;12;10.5
0;17;10.4
0.32;14;12.6
0;28;11.6
0.21;41;10.1
0.01;12;10.5
0;9;11.5
0.01;9;11
0;5;9.6
0.08;14;10.4
0.18;15;9.7
0.34;5;10.6
0.34;26;12.5
0.1;20;9.2
0.41;25;12.6
0.21;21;11.1
0;16;10.2
0.19;13;9.8
0.21;21;11.1
0.41;18;10.9
0.33;12;12.2
0;32;11.4
0;33;10.7
0.17;27;10.4
0.36;3;10.9
0.36;6;10.8
0.17;27;10.4
0.59;16;9.2
0.05;19;12.9
0.42;9;12.7
0.27;5;9.1
0.27;5;9.1
0.53;3;12.1
0.25;28;9.1
0.57;30;11.6
0.53;3;12.1
0.57;3;9.9
0.5;7;12.5
0.44;6;11.4
0.65;6;11.8
0.09;5;11.8
0.18;6;10.2
0.08;13;12.5
0.53;3;10.9
0.53;3;10.9
0.35;28;10.8
0.45;19;11.1
0.2;30;9.2
0.26;33;9.5
0.33;16;10.7
0.2;30;9.2
0.34;45;10.2
0.56;3;11.4
0.65;3;11
0.65;3;11
0.68;37.5;12.3
0.56;3;11.8
0.68;37.5;12.3
0.3;31;9.5
0.45;32;12
0.3;31;9.5
0.08;40;9.6
0.4;3;11.6
0.42;18;11.2
0.54;22;9.9
0.54;22;9.9
0.54;42;11.8
0.42;8;11.4
0.09;10;11.5
0.36;11;12
0.09;9;10.8
0.47;6;10.5
0.09;9;10.8
0.38;5;9.4
0.45;5;12.5
0.38;5;9.4
0.42;23;12.4
0.27;14;12
0.09;18;11.2
0.27;14;12
0.34;16;12.4
0.28;13;12.8
0.42;9;12.3
0.41;10;11.7
0.1;4;9.5
0.43;27;10.8
0;6;10
0.27;23;12.3
0.41;6;11
0.39;3;9.5
0.5;29;13.6
0.07;15;11.3
0.07;15;11.3
0.07;15;11.3
0.12;14;13.3
0;7;12.9
0.34;8;13.1
0;21;12.3
0;27;12.3
0.37;17;11.2
0;3;11.5
0.35;13;11.3
0.26;3;13.5
0;26;11.5
0.33;28;10
0.35;24;10.5
0;5;10.4
0.21;57;9.5
0.34;18;13.6
0.07;10;11.2
0.35;6;11.8
0.43;22;11.9
0.45;6;11.4
0.45;6;11.4
0.15;29;9.1
0.24;16;9.5
0.3;33;9.5
0.32;24;11
0.11;6;11.4
0.3;16;10
0.23;35;10.1
0.43;31;10.4
0.12;6;9.8
0.45;6;11.8
0.42;9;11.6
0.47;6;12
0.32;4;12.8
0.23;16;12.5
0.25;9;9.8
0.35;17;11.1
0;50;11.4
0.25;9;9.8
0.51;45;11.8
0.18;16;12.9
0.43;22;10.6
0.43;11;10.8
0.57;6;11.1
0.43;12;10.2
0.42;12;11.8
0.24;10;10
0.24;10;10
0.5;15;9.4
0.26;7;10.2
0.39;29;12.4
0.27;8;12
0.29;5;11.5
0.34;5;10.5
0;26;10.8
0.46;5;12.3
0.31;26;9.5
0.31;26;9.5
0;48;11.5
0.03;23;11.2
0;6;12.7
0;17;11.4
0.33;11;11
0.33;11;11
0.43;5;11.4
0.4;41;10.5
0.07;16;9.3
0.23;11;10.9
0.3;6;11.9
0.03;6;12.2
0.3;6;11.9
0.23;11;10.9
0.05;5;9.6
0.57;6;12.5
0;6;10.8
0.37;11;12.4
0;6;10.8
0.12;15;9.5
0.22;21;9.5
0.23;23;9.5
0.21;4;9.8
0.26;19;10.9
0.23;23;9.5
0.21;4;9.8
0.36;5;11.2
0.39;6;11.7
0.19;33;9.4
0.46;24;11
0.46;24;11
0.46;24;11
0.55;24;10
0.46;24;11
0.43;14;11.2
0.02;8;10.4
0.15;22;9.3
0.02;8;10.4
0.42;5;10.5
0.46;6;10.4
0.46;20;11.3
0.31;10;9.5
0.37;43;12
0.31;8;10.6
0.4;25;10.9
0.52;17;11.5
0.52;17;11.5
0.22;33;9.6
0.47;9;12
0.49;8;10.3
0.23;18;9.4
0.03;27;9.2
0.25;8;9.6
0;18;13.6
0.29;19;9.5
0.34;15;11.8
0.01;48;10.8
0.29;19;9.5
0.37;14;9.3
0.01;11;12.8
0.32;6;11.5
0;7;9.4
0.01;11;12.8
0;12;9.6
0;11;11.8
0.2;36;9.3
0.39;28;9.8
0.41;15;12.2
0.22;10;9.5
0.25;72;10.3
0.19;15;10.5
0.07;15;10
0.19;15;10.5
0.33;22;11.1
0.01;24;10.9
0.01;24;10.9
0.14;27;9.8
0;6;9.8
0;6;9.5
0.06;20;10.9
0.02;26;11
0.22;43;9.2
0.28;12;11
0;15;11.3
0;15;11.3
0.68;19;9.3
0;17;11.2
0.38;34;9.8
0;13;9.6
0.32;26;11.8
0.05;16;10.3
0.05;16;10.3
0.5;13;11.4
0.31;21;9.5
0.03;28;14
0.01;26;14
0.2;24;11.7
0;25;11.2
0.2;34;9.3
0.13;17;11.2
0.22;13;9.5
0.4;3;12
0;3;9.7
0.22;13;9.5
0.39;3;11.5
0.2;28;10.4
0.2;28;10.4
0;9;10.9
0.28;17;10.2
0.19;18;10.9
0.5;20;10.5
0.44;17;12.4
0.08;3;13
0.3;20;10.2
0.3;20;10.2
0;6;11
0.1;25;10.9
0.13;14;12.4
0;6;9.7
0.1;25;10.9
0;51;9.5
0;51;9.5
0.14;15;12.1
0;11;12.2
0;5;10.9
0;15;12.5
0.07;20;11.7
0.32;4;11.2
0.44;28;11.2
0.21;21;9.2
0.26;24;9.8
0.32;22;10.1
0.09;15;11.1
0.32;22;10.1
0.1;27;9.2
0.26;24;9.8
0.15;12;12.8
0.21;14;10.5
0.21;20;10.1
0.21;24;10.1
0.27;17;9.8
0;16;12.5
0.46;10;11.9
0.27;17;9.8
0.68;18;9.1
0.34;12;10.1
0;16;12.5
0.42;9;11.4
0.39;21;11
0.24;18;10.6
0.24;18;10.6
0.24;18;10.6
0.24;18;10.6
0.11;13;9.3
0.26;17;9.8
0.26;17;9.8
0.26;31;9.2
0.1;6;9.7
0.22;12;9.6
0;4;10
0.02;19;12.6
0;15;9.5
0;15;9.5
0;15;9.5
0.02;13;10.5
0.02;13;10.5
0.02;13;10.5
0.02;17;10.4
0.02;13;10.5
0.48;8;11
0.24;10;10.2
0.01;5;11.4
0.03;7;9.5
0.03;7;9.5
0;21;10.8
0.29;32;10
0.01;8;11.8
0.03;14;10.3
0.03;14;10.3
0.03;7;10
0.25;5;10.1
0.25;4;10.1
0.24;27;11.1
0.17;52;9.5
0.4;6;10.0333333333333
0.31;11;10.9
0.14;13;10.1
0.4;6;10.0333333333333
0.27;11;9.8
0.02;10;11.8
0.09;10;9.5
0.08;10;9.8
0.3;9;10.5
0.32;16;9.8
0;4;10.4
0.51;12;9.2
0.56;5;11.6
0.51;12;9.2
0.27;34;9.3
0;16;9.8
0.26;13;9.9
0.2;7;10
0.26;23;12.2
0.15;10;9.9
0.02;11;10.8
0.02;11;10.8
0.09;4;9.6
0.22;25;9.9
0.22;25;9.9
0.15;20;9.5
0.25;34;9.2
0.07;8;9.6
0.07;8;9.6
0.31;7;10.3
0.02;36;9.7
0;15;12.5
0.22;5;11
0.06;5;9.8
0.25;19;10.2
0.14;27;9.2
0.1;3;9.55
0.1;4;9.55
0.26;17;9.9
0.12;13;10.2
0;10;11.1
0.21;33;9.9
0.21;33;9.9
0.42;6;11.9
0.33;3;10
0.39;12;10.7
0.3;18;11.3
0.34;8;10.9
0;40;10.7
0.36;35;12.4
0;40;10.7
0;5;11.9
0.4;8;10.6
0.34;8;10.9
0.25;12;10.1
0.59;3;9.6
0;8;9.4
0.59;3;9.6
0.33;21;12.1
0.01;3;9.8
0.21;32;9.9
0.01;3;9.8
0.18;24;9.4
0;39;11.4
0.09;14;11
0.37;8;9.6
0.37;8;9.6
0.37;23;12.1
0.33;6;11.2
0;27;11
0.4;38;11.3
0.24;18;10.4
0.31;13;9.9
0;3;11.7
0.16;11;10.1
0.37;55;9
0.37;55;9
0.38;27;8.5
0.29;15;11.1
0;3;10.3
0.02;31;11.0666666666667
0.32;15;11.3
0.19;19;9.56666666666667
0.02;18;9.8
0.2;8;11.7
0.02;31;11.1
0.19;19;9.6
0.02;18;9.8
0;22;9.7
0.01;40;9.7
0.31;15;11.3
0.32;15;11.3
0.44;8;11
0.02;37;11.6
0.33;27;9
